vectorizer,model,mean_f1,std_f1,mean_acc,mean_precision,mean_recall,mean_roc_auc,fit_time_s,vec_type,fold_1_f1,fold_1_acc,fold_2_f1,fold_2_acc,fold_3_f1,fold_3_acc,fold_4_f1,fold_4_acc,fold_5_f1,fold_5_acc,rank
tfidf_trigram,XGBoost,0.7273741401386791,0.01360993539181269,0.7766205640683987,0.7579212030075745,0.6994904147104852,0.8425293875947645,77.84,sparse,0.7480190174326465,0.7881412391738841,0.7271228359439407,0.7794803464357095,0.7294882209585702,0.7781479013990673,0.7051177904142973,0.758,0.7271228359439407,0.7793333333333333,25
tfidf_unigram,XGBoost,0.726784529862548,0.01058089988161946,0.7766219853431047,0.7591141966530192,0.6976193270735525,0.8379697587626026,47.57,sparse,0.7444444444444445,0.7854763491005996,0.714765100671141,0.7734843437708194,0.7294685990338164,0.776149233844104,0.7170731707317073,0.768,0.728171334431631,0.78,26
tfidf_bigram,XGBoost,0.7242052512868267,0.0117721491604399,0.7727558516544526,0.7507209046861703,0.7001154147104851,0.8394799769143315,64.98,sparse,0.7370892018779343,0.776149233844104,0.7398843930635838,0.7901399067288475,0.7160096540627514,0.7648234510326449,0.7122186495176849,0.7613333333333333,0.7158243579121789,0.7713333333333333,27
count_bigram,LinearSVM,0.7174964538991271,0.009164188486425758,0.7631597601598934,0.7298328807655677,0.7057467723004696,0.8234733281123052,4.78,sparse,0.7213114754098361,0.7621585609593604,0.7297514033680834,0.7754830113257828,0.7186009538950715,0.7641572285143238,0.7162055335968379,0.7606666666666667,0.7016129032258065,0.7533333333333333,28
word2vec_mean,LinearSVM,0.7171389219650235,0.008123239839138995,0.7635616255829447,0.7319363197240472,0.7032453051643193,0.8306543171631414,2.57,dense,0.7221789883268482,0.7621585609593604,0.7285828662930345,0.7741505662891406,0.7046714172604909,0.7514990006662225,0.7173738991192954,0.7646666666666667,0.7128874388254486,0.7653333333333333,29
count_bow,RandomForest,0.7160242099184421,0.00937619612072234,0.7826195869420387,0.8080408490505212,0.6428975938967136,0.8364529796779776,124.84,sparse,0.7044673539518901,0.770819453697535,0.7221735319894829,0.7888074616922052,0.7309027777777778,0.793471019320453,0.7102966841186736,0.7786666666666666,0.712280701754386,0.7813333333333333,30
word2vec_mean,XGBoost,0.714224858033963,0.010178498028590279,0.7706232289584721,0.7624520940529946,0.6722916666666667,0.8269715566433833,53.94,dense,0.7172859450726979,0.7668221185876083,0.7227467811158799,0.7848101265822784,0.7186721991701245,0.7741505662891406,0.6942148760330579,0.7533333333333333,0.7182044887780549,0.774,31
word2vec_mean,RandomForest,0.7133609464994668,0.007554939938168871,0.7792871419053964,0.7993535493695714,0.6444566705790298,0.8298448277742334,74.37,dense,0.7169179229480737,0.7748167888074617,0.7244094488188977,0.7901399067288475,0.7157712305025996,0.7814790139906729,0.7050610820244329,0.7746666666666666,0.7046450482033304,0.7753333333333333,32
count_trigram,LinearSVM,0.7128615970819677,0.0067608580423154235,0.7599612702642683,0.7272352146524768,0.6991828051643193,0.8218823044409185,4.37,sparse,0.7156398104265402,0.760159893404397,0.7208931419457735,0.7668221185876083,0.7153167602245389,0.7634910059960026,0.7118110236220473,0.756,0.7006472491909385,0.7533333333333333,33
word2vec_mean,LogReg,0.7126156832375949,0.006810457061989959,0.7570306018210082,0.7190155904070303,0.7066857394366197,0.820695862164859,0.58,dense,0.7104660045836516,0.7475016655562958,0.7259729944400317,0.7701532311792139,0.7067193675889328,0.7528314457028648,0.7099358974358975,0.7586666666666667,0.7099841521394612,0.756,34
count_bow,LinearSVM,0.7124199454066273,0.010360144320273957,0.756495669553631,0.7173740097231137,0.7076237284820031,0.8184575224608718,0.37,sparse,0.7046875,0.7481678880746169,0.7255369928400954,0.7701532311792139,0.7238689547581904,0.7641572285143238,0.7080062794348508,0.752,0.7,0.748,35
tfidf_unigram,RandomForest,0.7064044543845552,0.00960892224790288,0.7790217188540973,0.8147260129054427,0.6238272691705791,0.8368260559858701,114.82,sparse,0.7161345987920621,0.7808127914723517,0.7015329125338142,0.7794803464357095,0.7016918967052538,0.7768154563624251,0.6936619718309859,0.768,0.7190008920606601,0.79,36
tfidf_unigram,KNN,0.7052575517449936,0.009978337651533524,0.7782205640683988,0.8135326367326222,0.6225748239436619,0.8237977191286836,5.03,sparse,0.6995594713656388,0.7728181212524984,0.7240773286467487,0.7908061292471685,0.7046070460704607,0.782145236508994,0.6949602122015915,0.77,0.7030837004405286,0.7753333333333333,37
fasttext_mean,LinearSVM,0.7045002435768797,0.007755325747315774,0.7469000222074174,0.7012747634003362,0.7079352503912364,0.8142162567773397,1.72,dense,0.7104660045836516,0.7475016655562958,0.7021110242376857,0.7461692205196535,0.7153965785381027,0.7561625582944703,0.6930232558139535,0.736,0.7015043547110056,0.7486666666666667,38
count_bigram,RandomForest,0.7005608368197913,0.004819017548358015,0.7768881190317566,0.8188980494604582,0.612256455399061,0.8333502735586963,235.47,sparse,0.6985815602836879,0.7734843437708194,0.7056705670567057,0.782145236508994,0.7069431920649234,0.7834776815456362,0.6955736224028907,0.7753333333333333,0.6960352422907489,0.77,39
fasttext_mean,XGBoost,0.695448013893447,0.012137079991101928,0.7554291805463025,0.7414404171884629,0.6553961267605635,0.8122129155920164,50.83,dense,0.7037037037037037,0.7548301132578281,0.6977124183006536,0.7534976682211859,0.7122362869198312,0.7728181212524984,0.6797274275979557,0.7493333333333333,0.6838602329450915,0.7466666666666667,40
tfidf_bigram,RandomForest,0.6947469192374643,0.009161442948101832,0.7732900732844771,0.8162105404632923,0.6053721635367763,0.8314862802038065,218.79,sparse,0.6993970714900948,0.7674883411059293,0.7057761732851986,0.7828114590273151,0.6904109589041096,0.7741505662891406,0.6792452830188679,0.762,0.698905109489051,0.78,41
tfidf_bigram,KNN,0.6940839521439965,0.008512952794742281,0.7735557628247836,0.8186439011575601,0.6025625978090767,0.818759573872776,3.28,sparse,0.691006233303651,0.7688207861425717,0.708675799086758,0.787475016655563,0.6950226244343891,0.7754830113257828,0.6823104693140795,0.7653333333333333,0.6934046345811051,0.7706666666666667,42
count_trigram,RandomForest,0.6939355541861575,0.0074235515151056435,0.7744889184987785,0.8235833757555735,0.5997452073552425,0.8317731939287032,324.72,sparse,0.6915555555555556,0.7688207861425717,0.7,0.7801465689540307,0.7049180327868853,0.7841439040639574,0.6850321395775941,0.7713333333333333,0.6881720430107527,0.768,43
fasttext_mean,LogReg,0.6924702782454745,0.01091871960273048,0.7359704197201865,0.6874648336217342,0.6979215571205006,0.8078238883390678,0.4,dense,0.7058823529411765,0.7401732178547635,0.6994535519125683,0.7435043304463691,0.6979246733282091,0.7381745502998002,0.6782061369000787,0.7273333333333334,0.6808846761453397,0.7306666666666667,44
tfidf_trigram,RandomForest,0.6892596478467491,0.008262819968950213,0.7724907839218298,0.825582736615315,0.5925508607198748,0.8301512308948542,292.96,sparse,0.7052722558340536,0.7728181212524984,0.6887052341597796,0.7741505662891406,0.6833333333333333,0.7721518987341772,0.6830601092896175,0.768,0.6859273066169618,0.7753333333333333,45
word2vec_mean,MLP,0.6858351574596979,0.015761952625990946,0.7720911392405063,0.8352466872902774,0.5859702660406886,0.8305820446618283,22.1,dense,0.7128712871287128,0.7681545636242505,0.6920930232558139,0.7794803464357095,0.6772093023255814,0.7688207861425717,0.6666666666666666,0.7726666666666666,0.6803355079217148,0.7713333333333333,46
fasttext_mean,RandomForest,0.684118967849225,0.011265203397777108,0.7607606484565845,0.7821630380408167,0.6081792840375586,0.8087623292260337,72.3,dense,0.6903114186851211,0.7614923384410394,0.6927763272410792,0.7648234510326449,0.6964129483814523,0.7688207861425717,0.6714671467146714,0.7566666666666667,0.6696269982238011,0.752,47
word2vec_mean,KNN,0.6731781070354396,0.005270721744139737,0.7596966466799911,0.8008766726823048,0.5806734154929578,0.7982571430729817,4.07,dense,0.6791778373547811,0.7608261159227182,0.6745240253853128,0.7608261159227182,0.6648550724637681,0.7534976682211859,0.6697080291970803,0.7586666666666667,0.6776255707762557,0.7646666666666667,48
tfidf_trigram,KNN,0.6696472324663053,0.010490503367987937,0.7604932711525649,0.8132842424288672,0.5694146126760563,0.8042422116824707,3.24,sparse,0.676923076923077,0.7621585609593604,0.6847521047708138,0.7754830113257828,0.6697588126159555,0.7628247834776816,0.6555555555555556,0.752,0.6612466124661247,0.75,49
fasttext_mean,MLP,0.668858105493705,0.015276885132568961,0.7455673106817677,0.752156338229309,0.6041035798122066,0.7989841218153547,9.99,dense,0.6755852842809364,0.7415056628914057,0.6798283261802575,0.7514990006662225,0.6873949579831933,0.7521652231845436,0.651528384279476,0.734,0.6499535747446611,0.7486666666666667,50
fasttext_mean,KNN,0.6668340561819243,0.012378044256155477,0.7467681101487897,0.7591678204265013,0.5950537949921753,0.7818288104871323,3.35,dense,0.6827171109200344,0.754163890739507,0.675885911840968,0.7501665556295802,0.647787610619469,0.7348434377081945,0.6588021778584392,0.7493333333333333,0.6689774696707106,0.7453333333333333,51
count_bow,KNN,0.6497251105342459,0.014625296917069985,0.7468997557184099,0.7923257899535063,0.5506533646322379,0.788236136557375,3.01,sparse,0.6483516483516484,0.7441705529646903,0.6746987951807228,0.7661558960692871,0.6407407407407407,0.7415056628914057,0.6310947562097516,0.7326666666666667,0.6537396121883656,0.75,52
count_bigram,KNN,0.6055978705785092,0.010014117052497943,0.7326391294692428,0.8162740588928216,0.4815551643192489,0.7689321537854045,3.24,sparse,0.6190476190476191,0.7441705529646903,0.6083499005964215,0.737508327781479,0.5906838453914767,0.7248500999333778,0.5982575024201355,0.7233333333333334,0.6116504854368932,0.7333333333333333,53
count_trigram,KNN,0.5810398601772905,0.011381381796548306,0.7259751276926494,0.8348768846490067,0.4459091353677621,0.7493907369238013,3.69,sparse,0.5965270684371808,0.7368421052631579,0.5838509316770186,0.7321785476349101,0.5610766045548654,0.7175216522318454,0.5819265143992055,0.7193333333333334,0.5818181818181818,0.724,54
